[ 2025-01-11 16:49:56,150 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:50:04,502 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:50:04,502 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:50:04,523 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:50:04,524 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:50:04,528 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:50:04,528 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:50:04,528 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:50:05,365 ] 56 root - INFO - Prediction completed
