[ 2025-01-11 16:46:56,121 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:47:04,397 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:47:04,397 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:47:04,420 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:47:04,420 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:47:04,424 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:47:04,424 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:47:04,425 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:47:05,262 ] 56 root - INFO - Prediction completed
