[ 2025-01-11 16:52:05,796 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:52:14,023 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:52:14,023 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:52:14,043 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:52:14,043 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:52:14,048 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:52:14,048 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:52:14,049 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:52:14,905 ] 56 root - INFO - Prediction completed
