[ 2025-01-11 16:50:10,385 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:50:18,524 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:50:18,524 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:50:18,546 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:50:18,546 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:50:18,551 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:50:18,551 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:50:18,552 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:50:19,377 ] 56 root - INFO - Prediction completed
