[ 2025-01-11 16:51:12,586 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:51:19,780 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:51:19,780 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:51:19,803 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:51:19,803 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:51:19,809 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:51:19,809 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:51:19,810 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:51:20,635 ] 56 root - INFO - Prediction completed
