[ 2025-01-11 16:44:19,128 ] 317 root - INFO - Chromedriver is already installed.
[ 2025-01-11 16:44:27,341 ] 22 root - INFO - Initializing the training pipeline
[ 2025-01-11 16:44:27,341 ] 27 root - INFO - Image spliting is started for target image
[ 2025-01-11 16:44:27,414 ] 43 root - INFO - Image spliting is completed for target image
[ 2025-01-11 16:44:27,414 ] 54 root - INFO - Conversion from image to binary is started for target image
[ 2025-01-11 16:44:27,419 ] 74 root - INFO - Image converted to binary
[ 2025-01-11 16:44:27,419 ] 25 root - INFO - Initializing the predict pipeline
[ 2025-01-11 16:44:27,420 ] 31 root - INFO - Prediction for target image is started
[ 2025-01-11 16:44:32,914 ] 56 root - INFO - Prediction completed
